詞條,解釋
賺衰,猶言好心沒好報。
賺暢,謂僅得到快樂而無實質收益。
賺肉痛,猶言平白受到皮肉之痛。
賺食碗,指謀生的工具。
穿空打漏,容殘破得孔孔洞洞。
撞走,迷路、走失。
撞差路,走錯路。
丈公,姑的丈夫或姨祖父。
丈人老,岳父。
丈人𡟓,岳母。
長透,經常，長時間如此。
長尸胐,是說一坐就坐得很久，不會立即離開的人。
長繞繞仔,悠長貌。常用來形容時間還很足的狀況。
長纜纜仔,很長的樣子。
長衫聊跳,形容悠遊清閒。
臭臭,1.形容氣味很臭。
臭沊,浸在水中過久而發出的臭味。
臭封,淹漬的蔬菜類封裝在瓶甕中，因腐敗而發出的臭味。
臭青,生青草或蔬菜味。
臭黃,蔬果過熟的氣味。
臭羴,有異樣氣味。
臭俗,俗不可耐。(xiog)音來自閩南語。
臭翕,物品受潮悶出發臭的氣味。
臭臭曷,身上發出的一種怪異臭味。
臭臊,動物身上發出的臭味。
臭腥,腥臭味。
臭餿,食物陳腐的臭味。
臭殕,物因潮濕而生的霉味。
臭戇羴,有傻子的氣味。是說吃了人家
臭肨肨仔,形容臭氣沖天。
臭臊扡蟹,形容人滿身腥臭。
臭青臭青,有很重的生草或生菜味。
臭翕臭翕,物品有很重的因受潮悶而發臭的氣味。
臭頭瘌刻,人的頭上如果長了疥癬之後常留下坑坑洞洞的疤痕，就叫「臭頭瘌刻」。「瘌刻」是說疤痕纍纍、凹凹洞洞不平整的樣子。
臭臊吧咘,形容騷臭味沖人鼻子。
粗鱗鱗仔,形容表面粗糙不堪。
粗傢硬伙,指粗重的家庭用具。
抽筋縮脈,謂病得痛苦萬分狀。
抽胲另命,猶言嘶聲力竭。
出丁,謂生男很多。
出子,鳥類孵出幼鳥謂出子。
出山,1.出殯。2.離開山林。
出心,形容奉獻心力。
出桌,把菜端出桌，準備開筵。
出煞,請和尚作法請走煞神。
出差世,罵人出錯世，投錯胎。
墜墜,下垂貌。如「下身墜墜」。
墜氣,疝氣，又稱小腸氣。
皴皴,形容平整沒有皺紋。
皴紋,神色泰然，沒有憂慮或不滿，即臉上沒有不悅的皺紋。
春光,發展，發榮。
衝林,謂林木高聳茂密。
衝新,形容極新。
衝新砉爛,東西雖然還很新，卻已破爛不堪。喻中看不中用。
銃子,子彈。
銃仔,槍。
重輕,1.輕重。2.憂煩之所在。
重鈂鈂仔,沉甸甸的樣子。
重跕跕仔,形容很重的樣子。
塚埔,墳墓所在的地方。
喋喋滾,誇言貌。
打子,指植物結果實。
打平,平著放。
打井,鑿井。
打石,雕刻石頭的工作。
打合,商量、洽商。
打早,一大早。
打屁,放屁。
打卵,1.魚類、昆蟲產卵。
打索,編製繩索。
打忸,因受驚嚇所引起的寒顫。
打洽,會商；也作「打合」。
打直,直著。
打門,開門。
打租,訂定租額，收租。
打稅,訂定稅額，收稅。
打單,買票。
打,小孩學站立。
打,直著，豎直。
打衊,1.弄髒。2.沾惹到。
打彳亍,到處遊蕩閒逛。指無所事事的人。
打冇訕,閒談。
打冇嘴,空口說白話，只是說說不經腦袋思索的情形。
打白行,白走一趟。
打白講,坦白說。
打孔翹,物體不平穩，傾斜搖動。
打宕窿,錯過，沒有交集。
打出本,倒貼出本金。
打包尾,殿後。
打卵退,喻後退，如「蝦公打卵退」。
打逆面,因起衝突而互不往來。
打鬥敘,幾個人聚在一起打牙祭。
打渾吞,囫圇吞棗。
打淨食,只吃一種食物，不配其他食物或佐料的吃法。
打吃惇,起寒顫。
打惄忸,因吃驚所起的寒顫。
打頓屈,一種耍賴不認賬的行動。
打倒,仰倒。
打詏嘴,彼此爭論，口角。
打詏撬,兩人因意見不合而發生爭執。
打風馳,指夏季的驟雨，來時快，去得也快。
打嘴鼓,聊天。
打賬仔,故意找碴坑人。
打狗跏,像狗一樣曲腿蜷身躺著。
打眼拐,1.互相以眼神示意。2.以眼神勾引異性，即是「拋媚眼」。
打飯銃,吃飯時，因食物嗆到氣管而噴出飯菜的現象。
打觔斗,低頭前滾翻，又說「種觔斗」。
打糾股,繩索扭轉過份而自纏的樣子。
打暗摸,在暗中摸索東西，引申為在黑暗中工作。
打盦覆,臉朝下胸貼地伏著。
打潑賴,耍賴，耍脾氣。
打腳偏,行走時，腳力不支，偏頗搖晃。
打衊手,弄髒了手。
打衊嘴,弄髒了嘴巴。
溚渧,濕漉貌，不乾淨。引申為做事不乾脆。常用在負面，說人的舉止不莊重。
溚濕,濕透了。
溚澇,濕透了。
溚溚渧渧,濕漉漉的樣子，不乾淨貌。
搭碓,喻搭配得很好，很有意思。
貼貼,緊貼在地的意思。如「橫到貼貼」。
貼簝,謂密合、貼緊。
貼蓆,緊貼著草蓆。
貼秤頭,買賣肉類斤兩不足時，附加上使足夠的部分。引申為本體以外所加的添加物。
的對,確實正確。
的著,被如捕獸器之類的機關逮住了。
帶行帶走,指連走帶跑。
帶嚇帶罵,又嚇又罵。
帶壞帶樣,指破壞成例，作不良示範。
帶嚇帶嚇仔,語帶恐嚇。
帶帶仔,把東西給人或要人做事採半逼迫方式。
低湖,稱低窪之地。
低瓤,低窪地區。
擔竿,扁擔。
擔硬,吃苦，忍受艱苦。
澹澹汀汀,1.滴水貌。2.物件成一條一條地向下垂貌。
膽膽大,安慰小孩膽子大一點，不用驚恐的話。
膽在在,謂心定沉著。
單淨,僅僅，唯獨。
旦旦,多半。
旦勢,多半。
,特地。
工,專程。
,1.堅立貌。2.指陰莖勃起。3.形容小孩細瘦發育不良的樣子。
頂碓,以言語作弄他人。
頂頂碓碓,指說話或做事顛三倒四或遺忘。
著著,沾染到汁液。
喋喋滾,誇言貌。也說（dadagùn）。
短舌,說話結巴的樣子，就是國語的「大舌頭」。
淂淂仔,指水量微沾而不滿的樣子。
得人畏,令人害怕。
得人惜,令人憐愛。
得人惱,令人討厭。
得人驚,令人懼怕。
燈對,很相配，如燈綵神燈之成雙成對。
竳竳,直立貌。
竳線,合乎標準，形容漂亮。
等路,禮物。
鬥站,湊成一個段落。
鬥股,出資合夥。
鬥桌,人數湊成一桌。
鬥陣,湊成一夥。
鬥當,人家不要而勉強要人接受。
鬥雙,湊成一雙。
鬥頭,1.相對等的一方。
鬥擔,湊成一擔。
鬥對,湊成雌雄一對。
鬥緊,心想急著完成。
鬥當人,主動要求別人接受。
鬥鬧熱,湊熱鬧。
兜等,端著。
兜尿,抱小孩解放小便。
兜屎,抱小孩解放大便。
兜腳,1.抬人的腳，使人站不穩。
締碓,形容言語糾纏
知知,明明知道。
知得,1.明瞭。2.若知道的話。
知腹,知心。
知種,瞭解內情。又作「知總」。
知人性,有人性，知道人的情性。
知人我,懂事。
裡肚,裡面。
裡背,裡面。
蹀蹀,小孩學走路的樣子。
貼貼,緊貼著。
的著,被機關陷阱逮著了。
點仁,點狀播種。
點種,1.點狀播種。
恬靜,寂靜。
恬索索,形容靜寂的樣子。
恬靜恬靜,寂靜的樣子。
恬恬靜靜,安安靜靜，形容很寂靜。
恬風息氣,是說風與空氣都呈現靜止狀態。
吊頸,自縊。
鳥子,幼鳥，小鳥。
鳥公,公鳥，雄鳥。
鳥嫲,母鳥
著著,被某物扣住了。
著著,穩固的樣子。
適願,滿足癮頭的快感。又說「頂願」。
得失人,對人有所虧欠。
跌馬,指火車、門窗等脫軌。
跌崁,指高低位落差。
跌價,價錢下降。
跌陣,脫隊，跟不上隊伍，落在隊伍之後。
跌齾,刻度落差。
跌巖,地平落差。
癲牯,指瘋男子。
癲嫲,指瘋婆子。
癲癲,形容人的言行偏離常軌。
癲頭雞,喻做事亂來的人。
癲癲,神智不甚清醒貌。
頂崠,山之最高點。
頂香火,謂承繼家族血脈。
頂香煙,謂承繼家族血脈。
掙人,以一種為難人或向人撒嬌的手段達成目的。
掙價,以各種技倆索取更有利的價錢。
掙掙掣掣,以時而要時而不要的方式向人要脅，以達目的。
長錢,存留錢財。
長著,賸餘的，殘存的。
丟竹,形容速度極快。
丟苦,形容味道極苦。
丟韌,形容堅韌。
丟丟滴滴,1.團團轉的樣子。
丟籬橫壁,謂零亂沒有收拾。
丟鑼鼓,謂演戲結束了。喻工作結束。也說「丟鑼息鼓」。
丟酸,形容味道極酸。
到到,1.每次。
倒反,相反，顛倒。
倒汗,水蒸氣在壁上或容器中凝成水滴的現象，像冒汗一般。
倒找,倒貼。見「背囊項爪癢」條。
倒草,草食性動物反芻。
倒漀,容器顛倒過來。
倒貶,裡外倒反。
倒蝕,不增反減。
倒胲,用壺罐等容器倒水時，水不從壺口噴出而從壺嘴沿邊流下的情況。
倒合齒,指下巴牙床在上額牙床外的齒槽，一般人的齒槽上額在外下額在內。
倒襛水,溪河裡水流到較平坦的地方所形成的迴旋水流。
倒襛窟,溪河裡迴旋水流所形成的水潭。
倒襛角,溪河裡迴旋水流所形成的角隅。
刀石,磨刀石。
刀嫲,柴刀。
倒酒,1.把酒倒入容器中。2.買酒。
倒豆油,1.倒醬油。
倒淨淨,砍光光。
琢琢仔,不慌不忙地，按部就班地。
㤕服,畏懼於威勢而屈服。
堆下,全部。
堆堆,成批或全部，如「堆堆分佢」。
斷真,1.確實，真的。2.果然。
斷水,把水阻擋起來，使它不能繼續流動。
斷心,截斷植物之嫩芽，使之不再生長。
斷血,止血。
斷乳,斷乳，即停止授乳。
斷臍,截斷臍帶。
當過,勝過。
當樑,謂能承當、能負責，是上等之材。
當有,很富有。
當兇,搶食搶得很厲害。
當奀,很醜，沒有看頭。
當近,很近。
當晝,中午，正午。
當當,正在從事某事的過程中。
當爽,很舒服。
當慣,很習慣。
當閒,很清閒。
當闊,很寬。
當發,很有錢。
當媱,1.指女人很風騷。
當湛,很好，真美。
當靚,很美，很漂亮。
當暢,很高興。
烏,形容顏色很黑。
堵胲,謂吃得太飽，已堵到喉嚨。
堵嘴,頂嘴。
堵數,抵賬。
堵跖,意見不合而生衝突。
堵堵撐撐,1.形容愛頂嘴的樣子。
堵嘴塞鼻,以言辭頂撞人。
堵好,恰好，湊巧。
堵堵好,剛剛好。
賭胚,猜想，揣測。
賭彩,碰碰運氣。
賭準,以假替真，將就將就。
賭造化,碰運氣，與主宰人類命運的「造化」打賭，試著去做，叫「賭造化」。
肚笥,腹，肚子。
肚飢,肚子餓。
肚𦣇,腹部，肚子。
肚飽目歪,形容貪得無厭貌。肚子已撐得飽飽的，眼睛還一直在搜尋食物。
肚弛弛仔,肚部寬鬆的樣子。
肚扐扐仔,抱著大肚的樣子。
肚挺挺仔,挺著肚子的樣子。
,堅實而重的樣子。
啄目睡,打瞌睡。
涿水,淋雨。
涿雨,淋雨。
涿濕,被雨淋濕。
對半,從中分一半。
對破,1.從中劈成兩半。
對換,兩相交換。
對歲,週歲。
對人死,謂極度的怨怪人家，要死要活的樣子。
對手親,因婚姻關係所成立的對等親戚關係。
對佢叫,被他氣哭。
對毋過,配不上。
對毋著,不相配。
啄人,鳥類用嘴啄人。
頓井,鑿井。
頓齊來,整束或整疊的東西在平面上頓觸使一端齊平。
頓竳來,豎立起來。
頓水,阻擋水，使之不流。
頓恬,停止、中止。
頓腳,歇腳，駐足。
頓頭,砍物時所用之墊木。
棟指,手指中最高者，即中指。
棟桁,屋頂的正樑。
棟頂,屋脊的最高處。
冬下,冬天的時候。
冬下頭,指冬天的時候。
東片,東邊。
東片析,東邊。
等,蒙著。
人衫,背小孩時，蒙蓋在小孩身上的被單。
人被,背小孩時，蒙蓋在小孩身上比衫厚的披被。
手帕,把手帕或絲巾披戴在頭頂上。
羅帕,蒙蓋著頭紗。
崠頂,山之最高處。
俚,我們。
兜,我們。
漚雨,久雨不止。
漚漚,大而無當且有蠢相。
漚濡,形容身軀大而胖、不靈活的樣子。
漚霸,大而無當的樣子。
漚淨淨,全都發霉敗壞。
漚霸霸仔,大而無當的樣子。
熰火,焚燒。
熰垃圾,焚燒垃圾。
畫虎,吹牛。也說（vagfùlìn）。
花花,色不純。
花假,虛假不實。
花蓼,1.謊言。2.虛假不實。
花螺心,用心不專。
花姿葉舌,形容女子招搖諂媚、挑撥是非。
花剌花剌,兩種以上顏色參雜呈現。
花剌必駁,色彩條紋斑駁繁雜。
花螺吊觜,說謊，花言巧語。
花酪酪仔,形容用心不專。
闊闊,寬闊。
闊度,寬度。
闊面,面寬。
闊野野仔,寬闊的樣子。
發紅,發炎紅腫。
發病,生病。開始發生病狀。
發禍,傷口發炎疼痛。
放放,1.不平貌。
壞手腳,手腳不乾淨，有偷竊習慣。
壞銅壞鐵,爛銅爛鐵。
壞膣壞鳥,形容東西破舊不堪。
飯糝,飯粒。
飯,鍋巴。
翻病,舊病復發。
翻牙倒齒,謂說話沒條理，顛三倒四。
翻身轉側,翻轉身體。
反躁,失眠，精神亢奮而不能入眠。
返陽,死而復生。
返魂,休克後復甦。
放放,1.板面翹起。2.放縱貌
竵竵,形容歪斜不正。
竵膣竵鳥,喻物品長相不正。
或或仔,尚可。
浮浮,不實貼貌。
浮財,現金。
