詞條,解釋
慶腳,精明能幹。(常用在負面意義
儆惜,愛惜。
儆嘴,飲食謹慎不亂吃。
輕可仔,輕微地。
翹忒,死掉。人死時多呈捲曲貌，故
及及,謂緊迫無寬容的餘地。
及時及急,謂時間緊急急迫。
吃吃滾,笑聲急而細碎的樣子。
極極,擁擠的樣子。
極樂仔,陀螺。
極手極腳,喻空間不大，手腳活動都受到
契子,義子。
,啃、囓。
骨頭,啃骨頭。
客哥,姘夫。閩南人稱「客」為
客哥面,有女人緣的面相。
揜等,覆置著。
揜蝦公,用小型網子捕蝦。
揜揚尾仔,用網子捕捉蜻蜓。
撅粳,把米漿邊煮邊攪拌做成食用
蹶山,登山、爬山。
蹶壁,形容面臨困境而束手無策的
蹶來食,喻謀生辛苦或辛勞。
乞食羅漢,指流浪漢。
缺牙耙,譏笑門牙脫落的人。
缺角,謂器物不完美有小缺口。
缺碗,碗緣有破損的碗。
缺嘴仔,指兔唇之人
弇等,蓋著。
弇蓋,蓋上蓋子。
健躁,身體健康，精神矍鑠。
勸話,勸說。
桊鼻,鼻子穿上繩物或環，以便控制。
桊線,穿線。
桊耳環,穿戴耳環。
桊空錢,中有孔之古幣。
菣香,用佐料調理食物的味道。
牽承,拉拔，汲引。也寫作「牽成」。
牽絲,1蜘蛛結網。2拉出絲的狀態。
牽鬚,植物的莖，蔓生細鬚，以利攀援生
牽粉仔,料理食物的芶芡動作。
牽豬哥,1牽著豬公為母豬配種的行業，引
牽牛入甕,喻不可能做的事。
乾造,指男子的生辰八字。
拳頭嫲,拳頭。
拳花碌天,揮拳舞動的樣子。
凝凝,凝固的樣子。
凝絲,細絲相連貌。
凝底,沉澱。
凝家,凝聚家人向心力。
凝神,聚精會神。
凝覺,熟睡打呼。也寫作「牽覺」
譴,1發怒。2責罰。
譴粄,即「湯粢」。又稱「牛搵水」、「挼啊圓搭啊扁」
譴仔,形容生氣的樣子。
轎心粄,迎親時，男方置於新娘轎的坐位上
轎背來个,指隨著母親而嫁的子女，即俗稱的「拖油瓶」。
撬仔,撬物使起的工具。
撬冬,謂冬季稻子收割後，翻土讓陽
撬畚箕,把畚箕掛在扁擔一端的肩挑
翹頭,兩端重量不相等，一端翹起。　
翹翹橫,頻頻倒下的樣子。
叩廟,男子在妻子喪時欲再娶，在妻子靈
箍桶,將一塊一塊的木板用環套箍
箍圓圈仔,畫圈圈。
箍字簿仔,在寫字本上畫圈，今說「改字
藠仔,薤，蒜屬，球根可泡製成食品。
嘺人,糾纏煩人。
口短舌,謂不善言詞。
撳等,以手按之，使之不動。
撳鈴仔,以手按鈴。
撳雞嫲,1追捕母雞。2公雞騎上母雞
禽蛇,一種專吃小雞小鳥之蛇，或稱錦蛇。
尋,兩臂張開的長度，如「一尋長」。
擒犯,俘擄。
磬磬鏘鏘,形容金屬相擊聲。
傾銀盆頭,以鋁合金鑄成的鍋或缽。
磬硿,物因不平而發出的聲音。
框等,框住。
框金,用黃金加以框住。
腔頭,腔調。
強強,極力爭取，有蠻橫的意思。
強監,硬要人家做某事。
強強蠻,用強力去做。即「強強」。
舊年,去年。
舊陋,形容食物陳放过久而變質。
求求乞乞,極力的請求。
求神託佛,求神拜佛，祈請保佑。
球球,彎曲卷縮如球狀。
球杓仔,球拍。
虯走,卷曲了。
虯虯,卷曲的樣子。
虯毛仔,天生卷髮的人。
揪頭那毛,用力扭抓頭髮。
侷著,嗆著。
跼等,圈住、關著。
近近仔,時間快到的時候。
近廟拒神,太接近這個廟，反而不會相信
裙仔,指尿布類的衣物。裙，是指沒有褲管的下裳。
共下,一齊。
共屋,同一住家。
共樣,一樣，相同。
共間仔,在學校的同班同學。
共綱子,同一胎次所生之子。
共得著,有共同的源頭。
共儕人,同一個人。
共款調,同款式同格調。
共窯貨,謂同一批貨，通通一樣。
共名共姓,同名同姓。
共爺共𡟓,同父同母。
恐驚,疑慮之詞，意猶或者、也許。
靠靠,裸露凸出的樣子。
靠著,挨近摩擦到。
靠勢,倚仗威勢。
靠天絡食,看天候來謀生。
苛頭,架勢擺高，不講情面。
苛人,苛刻地對待人，即刁難人。
可比,好比。
可厥屎惡,罵人「野種、可惡」之語。
搉門,敲門。
確確係,確實如此。
開首,1猶言開頭。2猶言「號稱」
開田,開墾田地。
開封,初次開張。
開目,動物初生，第一次張開眼睛。
開林,開墾山林。
開青,人死後第一次祭祀，需加祀綠
開床,1男女結婚同床眠成為夫婦。
開計,獻計。
開剪,1啟用剪刀。2喪家始做喪服。　
開陽,謂陽光及視界良好。
開椏,樹枝開叉。
開聲,放開聲帶發出聲音。
開鑼,活動儀式開始前，敲鑼警示通
開火灶,起火炊爨。
開新年,1開春。2新春時期被罵或被打。
開細妹仔,指男人上妓院。
開壺酌酒,打開酒壺斟酒。
開胸利膈,形容胸腹舒暢。
慨,慷慨，無所吝惜。
看破,看透了。
看無,1看不見。2瞧不起。
看靚,當裝飾或欣賞用。
看交吔,看遍了。
看毋識,看不懂。
看面目,看交情面子。
看生趣,看笑話。
看透透,看穿了。
看現現,看得清清楚楚。
看衰漦,被看成孬種。
看人出菜,1依對象的不同而給予不同的待。
看毋過肚,看到他人違逆常理的行為無法
寬緩,寬鬆或延長時間。
囥步,隱匿絕招。
囥人尋,即捉迷藏，也說「囥尋仔」、「賭人
囥泥空,喻死去了。
爌肉,紅燒肉，將豬肉切成小塊加入
匡壁,砌牆壁。
匡圳溝,砌水溝。
狂狂,莽撞、瘋狂的樣子。
狂漦狂漦,形容舉止動作急躁的樣子。
曠曠蹀,步履不穩的樣子。
曠輕曠輕,形容輕飄飄不踏實的樣子。
怙杖仔,1枴杖。2拄著柺杖。
怙勢仔,盡情地，放心地，
枯著,過度勞苦而生病。
枯稐,禾苗整株枯萎。
傴背睡目,喻兩頭落空或兩面不討好。
摳人,1狗對人怒目狂吠作勢攻的子。2人對人哭鬧糾纏。
苦毒,虐待。
苦煎煎仔,形容很窮沒有錢。
苦到漦了,窮到一無所有，即窮得精光。
快菜,韭菜；「韭」與「久」同音，諱言久
筷頭嫲,指筷子粗的那一頭。
劊頭,1砍頭。2革職。
匱匱,猶言「淨盡」。
擐人,懷孕。
擐飯,1用籃子提飯。2女兒在父母過世四七時，備祭品向父母祭祀。
擐大肚,懷孕。
擐皮包仔,1提皮包。2指跟班。
環環轉,團團轉。
款調,謂式樣形像。
款包袱,收拾整理行李。
掘窟仔,挖洞。
,形容短短的。
頭路,沒有發展性的事業。
頭巷仔,沒有通路的巷子。
尾牛好拔,喻沒能力又好表現的人。
酷人,氣味嗆人。
酷著,被濃烈的氣味嗆著。
虧房,勘輿學術語，陰陽宅的坐向、
虧得,1幸虧。2枉費。
跪謝,喪禮出殯，孝子在途中跪著向
綑等,綑綁著。
綑大豬,農業社會售出大豬時，綑綁大
滾滾輾,指圓形之物滾動著。
空跡,空隙之地。
空仔,孔洞。
空空,毫無一物。
空心肚,空腹。
空殼餅,1謂外表好看，沒有內實。2
空賚賚仔,形容空空洞洞的情狀。
空手啦些,謂空著手。
孔孔,翹起的樣子。
孔竅,1喻智謀。2訣竅。
孔孔翹翹,顛跛不平的樣子。
啦嘎,話多吵雜的樣子。
罅力,力道夠。
罅拂,很難，夠你受，或不易做成。
罅喢,對某人的行為表示不以為然。
罅擺哩,1夠了。2有不耐煩的意味。
罅無底,以手觸不到底，喻難度高。
罅啊罅仔,輕輕地試探一下。
罅無頭,摸不著頭緒。
啦歌哩曲,哼著歌曲，表心情愉快。
蝲,蜘蛛。
邏三朝,結婚後第三天女方家人到新夫
邏姐婆,探望外婆。
垃圾,1骯髒，不潔。2俗稱有陰氣鬼魂。
裸面,反面。
裸翻歌,顛倒說的歌。
裸裸倒貶,翻過反面。
擸食,白吃白喝。
擸食狗,喻專門白吃白喝的人。
擸擳仔,指習於平白獲得他人財物的
邋邋𨒇𨒇,衣著髒亂的樣子。
邋邋埃埃,形容衣著髒亂不堪的樣子。
拉拉雜雜,混雜不純，有加強語氣的作用。
落底,底部破了。
落尾,1殿後。2後來。
落彩,逢好運，指事情的湊巧順利。
落熟,滾瓜爛熟。
邋臢,又髒又亂的樣子。
瘌瘌刻刻,疤痕纍纍、凹凸不平整的樣子。
壢溝,水溝。
瀝水,1疏通水流。2把鍋裡的水舀乾。
瀝淨淨,排盡、舀盡、刮盡、耗盡。
落大價,價錢狂跌。
賴人,怨怪或誣賴他人。
灑水,在煮菜鍋裡加一點水。
犁頭剷,跌跤時，身體重心不穩而向前
攋凳板,躺臥在長板凳上。喻生活悠閒。
睞啊過,瞥視。
濫濫,泥巴稀爛的樣子。
合惡,既差勁又兇惡。
攬總,總共。
攬揫揫,全部收歸一人所有。
濫糝,胡為亂來。
爛擐,破破爛爛。
懶尸,懶惰。謂肢體不動如尸。
懶仔,懶洋洋的。
亮線,整齊亮麗。
冷雪雪仔,冷冰冰的。
冷鑊死灶,謂時間已到，仍未開火做飯
零嗒,零嘴，零食。
落櫃,櫃底脫落，喻所有藏在櫃底不欲人知
邏尞,遊玩。或寫作「邏聊」、「遶尞」
恅著,以為、認為。
舌,伸出舌頭。
陋陋筲筲,形容很破舊簡陋。
漏胲,水由口邊流下。
利宮,脫離病境。
哩喲,語詞，哩喲合音，表提醒。
裡背,裡面。「裡」常說成（dí）。
懾著,恐懼，懾服。
溓水,水減少了。
領便,坐享其成。
聊,1休息，如「放聊」。2遊玩，如「正來聊」。
撩撩揬揬,動手動腳戲弄人家。
了了,滿滿都是的樣子。
了錢,虧錢。
笠嫲,用竹箬所編，可遮陽避雨的帽
捩捩轉,轉動不停的樣子。
哯哯,銜在口中不深的樣子，又引申為座位淺斜不穩的樣子。
臨臨仔,很接近的樣子。
臨時及急,謂時間急迫。
輪等來,輪留來，照輪。
略下仔,偶爾，形容次數不多。
量約仔,約莫。
兩頭烏,兩邊黑；或指天未亮及天黑。
溜掠,身手敏捷矯健的樣子。
罶人,設圈套拐誘他人。
犖犖仔,1稀疏貌。2偶爾。
攞攞合合,混合在一起分不開。
蘿蔔絲,以蘿蔔切成絲條曬乾後所成的
勞心擘肚,極費心思的意思。
老郎,形容老成持重，做事老到。
老姉老嫂,比喻老交情了，不用客套。
捋鬚,以手掠鬍子，有神情自若的樣
劣拙,猶言差勁、拙劣。
落文,入神。
落仔,紙袋子。
落泥時,出生的時辰。
樂線,1樂觀的樣子。2無責任感的樣子。
絡食,覓食。
犖犖确确,破舊鬆脫的樣子。
來去割,來回兩次損失。
卵崽仔,未成熟的卵子。
浪花四散,喻散落四方，如浪花四濺。
狼里狼攋,形容物品沒有收拾，凌亂不堪。
路頭路尾,指不定點的路上。
鑪鑪罅罅,形容養育小孩限於環境無法細心照顧。
攎手捋腳,捲起衣袖、拉起褲管，準備努
核,吃有核的水果時，果肉與果核容易分
律烏,形容很黑。
熝湯粢,把糯米漿濾乾，做成狀似「粢粑」的
摝人,打攪他人做事。
累追,小孩哭鬧纏人的樣子。
擂鼓,擊鼓。
論起真來,真正說來。
窿空缺,留有後路的活門。
毋曾,不曾，沒有過。常說成（mˇqienˇ）。　
毋當,不如，比不上。
毋在哩,不存在，指已死亡。
毋知頭,不小心，非有意的。。
毋盼得,捨不得。
毋多知仔,不知不覺地。
毋知頭天,不知天高地厚。
毋擔輸贏,輸不起，不認賬。
毋得爪,盼求脫離苦境的意思。
毋堪思量,不值得為他考慮。
毋係賭搞个,謂要慎重其事，不可等閒，不
麻斗,能力差，作是馬虎，敷衍了事。
麻苧一捋,喻處事不加細分，籠統而論之。
麼人,什麼人。「麼」音易連音變化說
麼个,什麼東西。「麼」音易連音變化
風,突然，義同「玄玄風」。
賣懶,偷懶。常說成（mainanˊ）
吂得時,還早得很。
吂曾正經,時候未到。
貌事,1視其外貌而估計其工作量或物之
乜做得,也是可以。
搣衰人,造成他人的困擾。
搣鬼搣怪,儘做一些不正當的事。
愐心事,想心事。
貓徙竇,諷喻常搬家或換位子。
貓扡粢粑,喻不易擺脫是非的糾纏。
謀頭路,計畫經營事業。
味做事,只知道專注於工作。
每擺,每一次
尾蹀蹀仔,得意的樣子。
尾擸擸仔,尾巴下垂貌，形容落寞喪氣的
微毛末節,形容微細的事情。
抺籮抺,忙這忙那，忙不出名堂來。
米篩目,粄類，用篩子刷成條狀，經熱水燙成
摸螺挖蟹,指撈取田螺或捕捉螃蟹、蝦等
面帕,洗臉的毛巾。
面北北,面朝他方不理人的樣子。
面臭臭,沒有笑容，生氣的樣子。
面紅洎炸,顏面充血，臉色通紅的樣子。難為情或害羞的表情。
免得,以免。
勉勉仔,尚可，雖非甚佳，勉強合意。
毛鬞鬞,毛髮蓬亂。
無成,難不成，難道。
無愛,不要。
無就,不然的話。
無才調,既無才能也無格調。
無下落,1沒著落，也罵人做事不明確了斷。
無恁該,沒那麼容易。
無眼睇,不把人放在眼裡。
無結無煞,不知如何是好。是無結煞的加
無搭無碓,沒意思、沒趣味。
無款無僭,不成體統，不像話。
無婆無卵,喻男性單身。
無閒洎杈,形容忙得無法開交。
莫講,別說，何況，作連接詞用。
莫佢,別跟他一般見識。
脢盎仔,太陽穴。
望啊望仔,隨處張望的樣子。
罔用,值得使用。
罔食,尚可一食，值得一吃。
罔講,隨便說說。
罔罔仔,還不錯。
暮固,沉默少言。
歿子弟,稱沒有用的孩子。
目水,指以眼目測的能力，即視力。
目摸目罅,視力模糊，四處摸索的樣子。
目汁濫泔,眼淚縱橫的樣子。
濛紗煙,霧氣。
淬水,火熱的東西物放入水中冷卻。
取在佢,任由他決定。
取總,聚集，集合。
斜斜,不正貌。
淨係,1只是，僅僅，「單淨係」的省略。2清一色都是，如「奈就淨係」。
青里里仔,臉色發青的樣子。
晴冷,形容晴朗而寒冷的天氣。
撨時間,騰出時間。
七層塔,香菜名，似「羅勒」，可作佐料。以
七攞八合,各種各樣的東西摻雜在一起。
七好過八,謂本事比人差，興致卻比人
賤手賤腳,手腳不規矩，喜歡亂動亂摸。
前世無修,前世沒好好修行，才造成今日之後果。
曾係,難道是？
尋尾,食髓知味。
靜辦,形容簡單不勞師動眾的活動。
盡命仔,竭盡心力地。
儘採,隨便。
躍上躍下,跳上跳下。
就係,就是。
揫亼,收拾整齊的樣子。
從頭漸二,從頭開始，按著順序。又說成「從頭接二」、「從頭疊二」。
你這兜,你們
你做你𠊎做𠊎　　,你是你我是我
若金,亮晶晶
若係,如果是
若个,你的
納意,中意
舌,味道重的舌頭難受
角仔,毛毛蟲
捺腰仔,束腰
死人,笑死人
奈久,何時？
奈下仔,哪個時段？
奈位,1.哪裏？2.哪個？
奈個,哪個？
奈央時,何時？
奈毋何,受不了
耐命,生命力超強
耐嫩,駐顔有術
耐看,久看不厭
耐飽,不容易餓
耐當,撐得住，耐用
泥泥,笨拙的樣子
泥胚,尚未燒製成陶器的泥塊
泥混混仔,沾滿泥土的樣子
泥蛇一畚箕,喻多而無用之人
喃喃呢呢,形容做事沒有魄力不果決
揇腰跤,摔角
難剃頭,喻事情難以處理或人難以應付
另命,拚命出力
闌腰仔,半腰
鬧熱,熱鬧
鬧熱煎煎,形容非常熱鬧
撓人,哈癢
撓肢胳,搔人腋下胳肢窩，使人發癢
膩胲,感油膩而生畏的樣子。
躡腳尾,提起脚跟
餒餒,內向柔弱的樣子
淰淰,滿滿
淰黃,形容色彩黃甸甸的
淰盆淰缽,謂容器皆盛滿
乳𡟓,奶媽
乳豬仔,指初生不久的小豬
凝心,轉動之物，因重心穩定，中心呈靜止的狀態
醹醹,汁液很濃
鈕仔,鈕扣
魚生,生魚片
魚鱗痣,手腳長出突起的小肉疣
魚幫水水幫魚,比喻彼此互惠
女家頭,論婚嫁時的女方家
五月節,端午節
嬰兒仔,嬰兒
吾个,我的
牙搓仔,牙刷
牙齦肉,齒齦
牙西西仔,牙齒微露，得意的笑貌
牙射射仔,牙齒尖銳突出的樣子
牙狌狌仔,牙齒顯露，一副要咬人的樣子
牙研目皺,一種忍受痛苦的情狀，牙齒相互研磨，眉宇緊鎖的樣子
雅式,典雅
瓦析仔,瓦片
呀叫,放聲大哭
磕石,以額頭碰撞石頭
齧牙,磨牙
齧鋸,鋸片被夾住。喻做事進行不順
齧牙齒,咬牙切齒
囓鬼,諷吝嗇之人
囓掣,吝嗇
𠊎豈毋知,我怎麼會不知道
𠊎兜,我們
巖頭,前額突出的樣子
頷頭,1.點頭敬禮2.答應
頷頷拜,連續點頭的樣子
頷膽,糊里糊塗的樣子
研末,磨成粉末
研孱,長不大的樣子
硬腱,質地結實的樣子
硬程,堅強
硬鉸,關節不靈活
硬頸,不聽話、不順從人，多屬負面意義
硬殼,形容個性頑固
硬拚拚仔,猶言硬繃繃的
轉來,轉過來
咬軋,齟齬
咬薑啜醋,喻生活儉苦，三餐以薑、醋伴飯過活
熬更守夜,即熬夜。形容工作辛苦
鰲梨瓜,喻東西歪斜不正
二絃,指高音椰胡
二貨仔,二哥
義父爺,義父
疑狐,狐疑
耳公,耳朵
耳砣,耳垂
耳聾,謂耳聾的人
耳靴靴仔,充耳不聞貌
耳聾頂碓,形容聽覺不靈光
若个,你的
若婆个朳仔,罵人的話，表示否定對方的言語或行動
捻菜包,用手指捏菜包
囁囁動,嘴巴一張一合的樣子
攝衫袖,捲起衣袖
目,眨眼
爧,閃電，閃光
凹忒,塌陷
額結結仔,愁眉不展貌
額數,數額
廿廿趖,蠕動的走著
拈香,以手拈香粉在神靈前祭拜
拈鬮,抓鬮
拈禾串,撿拾稻穗
拈籤卜卦,抽籤占卜吉凶
拈燒怕冷,謂人處事只取利己的，閃避不利的
拈揚尾打草蜢,謂遊玩嬉戲，不幹正經事
黏時,即時，立刻
黏牙帶齒,形容說話或做事不乾淨利落
黏黏浹浹,又濕又黏的感覺
嚴條,規定嚴格
釅茶,茶葉茶
硬硬,偏偏，硬是
迎龍,舞龍
迎鬧熱,迎神賽會
尿泡,1.動物的膀胱。2.裝尿的袋子。
尿墊仔,尿布、尿片
藕薯,植物之一種，即葛鬱金
嫋絲嫋絲,枯萎，不茂盛的樣子
喁毛,愛計較挑剔的性格
入來,進來
入骨,比喻到極點
入屋,1.進入房屋裡。2.新居落成，搬進新房住。
入軟,形容非常柔軟
入腹,進入心中
入年假,進入新年的假期，指陰曆的十二月廿五日起
入軟丟韌,形容非常柔軟而堅韌
,門啟動聲
日頭,太陽
日見日,一天天地，一天比一天
日到夜,日連夜，即日以繼夜
日時頭,白天
日腳,為了用事吉利而選定日子的用詞
蟻公,螞蟻
艾粄,米糕摻和艾草做成的米食
艾菜,茼蒿
月光,月亮
月給,月薪
月鴿仔,鴿子
熱著,中暑
熱嘴,吃得很有味道，欲罷不能
熱痱仔,痱子
熱仔,形容炎熱
殗殗,病弱無神貌
願頭,興趣
願菸,想吸菸的念頭
原旦,舊有的，本有的
原在,原有的，從前的
年下仔,接近過年的時段
年視年,一年比一年
年三夜四,指臨近年關的時候
眼時,眼前，當下
眼水,視覺的判斷能力
眼契契仔,勉強硬撐的眼神
眼晶晶仔,形容眼睛亮晶晶的
眼盯盯仔,瞪大了眼睛在看
眼茫鼻花,精神疲憊，視力模糊
撚死死,1.捏死。2.牢牢的抓住，不肯放手
撚雞胲,喻識破真象
撚鹹菜水,把浸漬的鹹菜水份擠乾，或戲稱男人小解。
認人,一般指小孩能認出熟人與陌生人
認份,守份，安份
認床,在陌生的地方不能熟睡的現象
人老,人死亡的諱稱
人客,客人
人公仔,人俑，人偶，漫畫的人像
人家女,指未出嫁的女子
人暈氣散,暈厥氣欲絕的樣子
人靚不如命靚,貌美不如命好
虐削,1.皮膚受到芒刺而痛癢的感覺2.因困窘而感到不自在
虐毛蟲,毛毛蟲
軟腳蟹,1.軟腳的螃蟹，喻沒有骨氣的人，即「軟腳蝦」。2.指沒有勞動的人
軟怠怠仔,軟弱無力的樣仔
軟習習仔,軟綿綿的
軟粢貼碓,喻軟綿綿的，無法著力的樣子
仰得時,為時尚早!
仰般,怎麼樣?
仰仔,怎樣?
仰會,怎麼會?
讓嘴,1.把好吃的東西讓給他人吃。2.說話留餘地。
讓身仔,整個身子投入，毫不保留的
牛子,小牛
牛形,罵人頑皮得像牛一樣
牛牯,公牛
牛眼,喬木果名，龍眼
牛嫲,母牛
牛倒草,牛反芻。喻說話不得要領，來回重複
牛搵浴,1.牛在水裡泡澡。2.「湯粢」的別稱，又說「牛搵水」
牛跈馬走,牛跟馬跑。用以比喻自不量力
牛欄肚鬥牛嫲,喻人長於內鬨，拙於對外
牛老車過,喻東西老舊毛病多。
扭糾,形容難纏，不乾脆
扭尸胐花,屁股扭動的樣子。
肉氣,指肉類食物
肉麩,肉鬆
韌床,賴床
忍尿,憋尿
銀角仔,硬幣
繷線,寬鬆
餓晝仔,沒吃中餐
臥臥倒倒,頭腦不清晰的樣子
鵝嫲,鵝媽媽
鵝豚仔,亞成鵝
噩夜,熬夜
愕愕然,事覺意外，驚懼不知所措貌
水,魚在水面嘴巴開合貌
外水,外快
呆呆,傻呼呼的
戇仔,傻瓜
戇面,長相傻傻的樣子
戇霸戇霸,大而笨的樣子
戇神戇神,神情呆滯
戇人有戇福,傻人有傻福
戇狗想食豬肝骨,喻異想天開，癡人說夢
昂昂,昏暈的樣子
昂山,迷失了方向
頑頑,冥頑不靈的樣子
呢呢哪哪,1.說話令人聽不懂的樣子2.兩人說個不停的樣子
藕藕,不平整貌
惄忸,因外力引起瞬間的驚嚇
糯米氣,1.指用糯米做的食品。
外背,外面
挼雪圓仔,搓湯圓
挼泥毋洗手,喻朋友感情融洽
腦之背,指腦後頸上之部位
暖壺,保溫瓶，熱水瓶
煖水,把水加熱
妄想,1.不能實現的非份念頭。2.用「妄想」做禮物送人，是敷衍人的話語。
枉為,「枉費」的訛音，意謂白做了
蠕蠕動,蟲類微動不停的樣子
嫩習習,形容很細嫩
曩時,往常
掄耳公,將物伸入耳朵轉動
弄老媱,裝扮成老婦人來演丑角
噥噥哢哢,多言不斷的樣子
膿頭,1.皮膚病變的根部，化濃後脫落，病就痊癒。2.喻團體中帶頭做壞事的人。
鬞交交仔,形容亂糟糟的
鬞頭不律,紛亂沒頭緒的樣子
鬞頭絞髻,紛亂的樣子
弄鬼弄怪,1.挑撥是非。2.裝神弄鬼做不正經的事。
怕會,揣測語氣，也許會
扒飯,以箸將飯送進口中嚥食。也寫做「划飯」。
爬床扡蓆,形容病床上的人極端痛苦的情狀，以手抓床拉蓆。
拔蚊仔,揮趕蚊子
拔翼,拍打翅膀
拔塵灰,拂去灰塵
鍊,項鍊
潑汗,大量發汗
潑血,大量出血，即血崩
撥涼,用扇子搧風使涼
撥扇仔,揮動扇子
撥火,以扇子搧火使著
伐草,砍除草木
白拂,白吃或白白被打
白行,白走一趟
白頭公,白頭翁，一種鳥，頭頂白色
白面仔,即白腹秧雞，俗稱「補鑊鳥」
白翼仔,即八哥，色黑，展翅時翼下露出白羽，故名之
鮊哥仔,鱲魚的一種，淡水河中一種白色細鱗的魚。俗稱「溪哥」
敗家,1.耗盡家產。2.浪費
稗仔,粟類植物，長於稻田中，莖葉形似水稻，實如粟。
敗勢,不好意思
派頭恁粗,架勢那麼大
排場,舖張，場面熱鬧
盼得,捨得。
翻死,形容輕易的把人打倒
盤水,將水從甲容器舀到乙容器中
盤車,轉換車輛
攀擎,善於翻騰跳躍，形容頑皮
攀籬吊壁,翻越籬笆，爬登牆壁。
冇卵,無精卵
冇冇,1.不充實的樣子，如「穀冇冇」。2.喻做人不實在
冇輕,重量很輕的樣子
匉勻來,分開使之均勻
嗙雞胲,1.吹氣球2.吹牛
棚頂高,樓上或棚架上方
拋鹽,在食物上撒鹽後，上下拋動，使鹽味均勻
拋拋滾,沸騰冒泡的樣子
拋花作浪,形容波濤洶湧，猶言「浪花滔天」
跑馬朗朗,騎著馬輕快愉悅的樣子
別人个腳髀挼索仔,喻利用他人，不知分寸。
浮皮面仔,薄薄的表面一層
屁卵嗊天,形容屁聲連連
鼻公,鼻子
鼻香,聞香
鼻屎,鼻中分泌物所結的硬塊
濞流濞竄,謂鼻涕在口鼻間上下流竄
濞著个,以鼻涕黏著固定的。喻不夠堅牢
濞水濫泔,形容鼻水流得很多的樣子
濞流毋知擤,流了鼻涕也不知擦，喻痴呆
呸血,吐血
呸口潾,1.吐口水。2.唾棄
批人,佔人便宜
被骨,1.被胎。2.泛指棉被
皮寒,發燒的人，感覺身體寒冷的樣子
疲爬極蹶,努力掙扎的樣子
肥累累仔,胖嘟嘟
肥湯,高湯
平高平大,一樣高一樣大
平洋,平原
蝠婆仔,蝙蝠
騙人毋識,有什麼稀罕，或自以為了不起
便所,廁所
便菜飯仔,家常菜飯
偏背罵皇帝,喻畏於權勢而不敢當面說，只在背後說人壞話。
便宜又值食,喻物美價廉
便宜無好貨,價錢便宜的東西，往往不是很完好的東西
拼毛辮仔,絞合毛髮以成髮辮
乒乓,乒乓球
憑筊仔,向神明請示時，依擲筊來定可否
聘等,1.絕對。2.約定。
贌屋,租屋
破病,生病
破柴,劈柴
浮浮冇冇,形容漂浮的樣子
烰菜,1.油炸菜餚。2.油炸的菜餚
背祖,違反祖宗規矩
背僻,偏僻
胚想,猜想、推測
賠命仔,賣命地、拚命地
翻血,大量吐血
翻腸仔,宰殺家禽家畜時，把腸子內面翻出來清洗
膨風,1.脹氣。2.言詞誇大不實
膨線,毛線
膨凳,沙發椅
膨風茶,東方美人茶
豐沛,謂菜餚豐盛。又寫作「澎湃」
䠙上䠙下,來回奔波
老鼠,窺視老鼠的行動
孵卵,孵蛋
步數,1.拳術武藝的招式2.步驟
普帲,整片都是
鋪橋施路,捐錢出力造橋鋪路
符誥,符咒
烳茶,煮茶，指煮開水
烳鏍,炊爨的鍋屬
匍澇,邋遢的樣子
瓠仔,瓠瓜
瓠杓,瓠瓜剖開做成的杓子
普普仔,模糊不很清楚貌
浡欄浡出,溢得到處的都是
伏落去,趴下去
仔,皮面所起的小泡
覆菜,將芥菜醃製後，曬成半乾，擠進瓶甕中，再將甕口封好，倒置保存，久存後，拿來食用，氣味芬芳。雅稱「福菜」，取其諧音。
噴睡,熟睡時打鼾的現象
噴香,形容香氣四溢
賁皮,皮層很厚
歕雞胲,1.吹氣球。2.吹牛
盆頭講到缽,「盆頭」與「缽」是相同的廚房容器。喻用各種不同的說法來說明相同的東西，還是無法理解
蜂糖,蜂蜜
蓬白,形容滿眼都是白色
縫仔,隙縫
續手,順手去做
挱著來,抓起來
奢鼻,1.神氣活現的樣子。2.愛面子、愛現的樣子
嗄,卻
喢飯,吃飯
沙鐐,圓鍬
蛇哥,蛇
蛇過尋棍,事過才來補救，喻錯過了時機
儕儕,每個人
煠蕃薯,把甘藷放在水裡煮熟
眨目,眨眼
閃走,跑掉、躲開
碎,粉碎
舌嫲,舌頭
舌仔,舌頭伸出很長的樣仔
蝕本,虧本
煞猛,努力
煞煞仔,儘速的、賣力的、積極的
石炭,煤炭
石𡟓,民間信仰為守護小孩的神衹。尊為石姆娘娘
石,石頭砌成的堤防。
石跳仔,在水中間隔擺置用以墊脚行走的石頭。
石碫仔,石階
曬鹹淡,醃曬各種蔬菜
人戇仔,欺騙他人，把人看成呆子
豺蟲,蛔蟲
徙位,移開原來的位子
衫褲,衣服
三八,謂行為不正經
三層肉,肥瘦相間的五花肉
三不二時,偶爾或常常
三隻鼻公空,謂多管閒事
三十暗晡个飯甑,自己需要用，無法借給他人使用
三日打魚四日曬網,喻工作時做時歇，沒有持續
糝糝,飯粒不黏的樣子
山排,山坡或山腰
山峎,山脊的稜線
山精,少見世面的人
山狗太,即攀木蜥蜴，棲息於樹枝上
山豬學食糠,喻外行人充做內行事
搧嘴角,打耳光
勯勯,形容人沒有元氣，病懨懨的樣子
生份,陌生
生卵,1.還沒煮過的蛋。2.生蛋
生鹵,生銹
生成个,天生成的，原本是如此的
生食芋仔,生食芋仔•扡胲。喻遇到困境。
